Module,Customer,Style,Total SMV,Sewing SMV,Product Type,Chassis ID,CWN,PO Type,Del. Date,Rev Del Date,Ord Qty,Planned Qty,Total Planned,Strip Planned,PSD,Prod Start Time,PED,Avg Per Day,FIH,1,9/4/23,9/5/23,9/6/23,9/7/23,9/8/23,9/9/23,9/10/23,9/11/23,9/12/23,9/13/23,9/14/23,9/15/23,9/16/23,9/17/23,9/18/23,9/19/23,9/20/23,9/21/23,9/22/23,9/23/23,9/24/23,9/25/23,9/26/23,9/27/23,9/28/23,9/29/23,9/30/23,10/1/23,10/2/23,10/3/23,10/4/23,10/5/23,10/6/23,10/7/23,10/8/23,10/9/23,10/10/23,10/11/23,10/12/23,10/13/23,10/14/23,10/15/23,10/16/23,10/17/23,10/18/23,10/19/23,10/20/23,10/21/23,10/22/23,10/23/23,10/24/23,10/25/23,10/26/23,10/27/23,10/28/23,10/29/23,10/30/23,10/31/23,11/1/23,11/2/23,11/3/23,11/4/23,11/5/23,11/6/23,11/7/23,11/8/23,11/9/23,11/10/23,11/11/23,11/12/23,11/13/23,11/14/23,11/15/23,11/16/23,11/17/23,11/18/23,11/19/23,11/20/23,11/21/23,11/22/23,11/23/23,11/24/23,11/25/23,11/26/23,11/27/23,11/28/23,11/29/23,11/30/23,12/1/23,12/2/23,12/3/23,12/4/23,12/5/23,12/6/23,12/7/23,12/8/23,12/9/23,12/10/23,12/11/23,12/12/23,12/13/23,12/14/23,12/15/23,12/16/23,12/17/23,12/18/23,12/19/23,12/20/23,12/21/23,12/22/23,12/23/23,12/24/23,12/25/23,12/26/23,12/27/23,12/28/23,12/29/23,12/30/23,12/31/23,SOLI
Daily Prod,AL20,-,8.06,8.06,,,,,,-,,,,93478,9/4/23,0.25,,,,PPD,51,-,-,-,-,-,-,124,-,-,-,-,-,-,-,-,625,1544,1544,-,-,515,-,-,-,-,-,-,-,1336,1717,1717,1717,-,-,1769,1786,1786,1786,1786,-,-,1786,1785,1786,1786,1785,-,-,1786,1786,1786,1786,-,-,-,1786,1786,1786,101,-,-,-,-,-,-,-,-,1786,-,1786,1786,1786,1786,1786,-,-,1786,1786,1786,1785,1785,-,-,1786,1786,1786,1786,1787,-,-,1786,1785,1786,1785,-,-,-,1785,1786,1786,1785,1786,-,-,1786,1786,1786,1786,358,-,-,-,-,-,-,-,-,-,
Efficiency,AL20,-,,,,,,,,,,,,,,,,,,EFF Row,0.02,-,-,-,-,-,-,0.06,-,-,-,-,-,-,-,-,0.3,0.74,0.74,-,-,0.24,-,-,-,-,-,-,-,0.58,0.75,0.75,0.75,-,-,0.77,0.78,0.78,0.78,0.78,-,-,0.78,0.78,0.78,0.78,0.78,-,-,0.78,0.78,0.78,0.78,-,-,-,0.78,0.78,0.78,0.04,-,-,-,-,-,-,-,-,0.78,-,0.78,0.78,0.78,0.78,0.78,-,-,0.78,0.78,0.78,0.78,0.78,-,-,0.78,0.78,0.78,0.78,0.78,-,-,0.78,0.78,0.78,0.78,-,-,-,0.78,0.78,0.78,0.78,0.78,-,-,0.78,0.78,0.78,0.78,0.16,-,-,-,-,-,-,-,-,-,
AL21,Patagonia,41930,15.99,15.99,,,,,,-,,,,5769,10/12/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,457,685,-,-,914,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,133,-,581,809,976,1107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL21,Patagonia,44427,14.86,14.86,,,,,,-,,,,48,9/15/23,0.917361111111111,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL21,Patagonia,45760,10.95,10.95,,,,,,-,,,,192,9/12/23,0.367361111111111,,,,PPD,-,-,-,-,-,-,-,-,192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL21,Patagonia,82835,17.5,17.5,,,,,,-,,,,4738,10/26/23,0.36875,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,460,669,856,982,1170,585,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL21,Patagonia,82840,20.58,20.58,,,,,,-,,,,5358,10/18/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,355,532,710,-,-,799,976,1065,920,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL21,LACOSTE,TH1790,16.55,16.55,,,,,,-,,,,83,10/11/23,0.272222222222222,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL21,LACOSTE,TH7539,13.93,13.93,,,,,,-,,,,18996,9/21/23,0.256944444444444,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,672,-,-,678,678,707,-,-,-,-,678,678,678,162,603,-,-,678,554,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,404,689,-,874,1081,1234,1263,1368,-,-,1443,1470,1496,848,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL21,LACOSTE,TH9881,13.93,13.93,,,,,,-,,,,96,10/5/23,0.404166666666667,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Daily Prod,AL21,X000007735,28.66,28.66,,,,,,-,,,,12220,11/28/23,0.255555555555556,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105,295,397,496,579,-,609,650,632,640,-,-,-,651,671,685,688,688,706,-,712,720,723,260,-,-,-,-,-,589,723,-,-,-,
Efficiency,AL21,X000007735,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,0.1,-,-,0.02,-,-,-,-,-,0.05,0.51,-,-,0.52,0.52,0.54,-,-,-,-,0.52,0.52,0.52,0.18,0.48,-,-,0.52,0.42,0.04,0.2,0.3,-,-,0.4,0.05,0.2,0.3,0.4,-,-,0.45,0.55,0.6,0.53,-,-,-,0.22,0.32,0.41,0.47,0.56,0.34,-,0.25,0.35,0.43,0.48,0.15,0.26,-,0.33,0.41,0.47,0.48,0.52,-,-,0.55,0.56,0.57,0.32,-,-,-,-,0.08,0.23,0.31,0.39,0.45,-,0.48,0.51,0.5,0.5,-,-,-,0.51,0.53,0.54,0.54,0.54,0.55,-,0.56,0.56,0.57,0.2,-,-,-,-,-,0.46,0.57,-,-,-,
AL22,LACOSTE,TH5207,17.35,17.35,,,,,,20230712,,,,5,9/23/23,0.389583333333333,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL22,LACOSTE,TH7539,13.93,13.93,,,,,,-,,,,8039,9/20/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205,528,551,-,-,678,678,678,-,-,-,-,677,678,678,678,678,-,-,678,657,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Daily Prod,AL22,-,14.19,14.19,,,,,,-,,,,8044,9/20/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205,528,551,5,-,678,678,678,-,-,-,-,677,678,678,678,678,-,-,678,657,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Efficiency,AL22,-,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.16,0.4,0.42,-,-,0.52,0.52,0.52,-,-,-,-,0.52,0.52,0.52,0.52,0.52,-,-,0.52,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL23,Patagonia,23565,14.92,14.92,,,,,,-,,,,4029,9/18/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,611,-,3,144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,393,709,954,1089,124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL23,Patagonia,40235,19.13,19.13,,,,,,-,,,,2215,11/8/23,0.367361111111111,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,259,539,730,687,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL23,Patagonia,40505,16.57,16.57,,,,,,-,,,,1365,10/19/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,551,814,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL23,Patagonia,40515,26.27,26.27,,,,,,-,,,,4342,10/25/23,0.280555555555556,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,274,533,-,-,-,742,666,-,-,-,-,-,-,-,-,-,-,-,-,313,546,755,513,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL23,LACOSTE,DH2568,18.44,18.44,,,,,,-,,,,87,10/13/23,0.8375,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL23,LACOSTE,DJ2492,18.44,18.44,,,,,,-,,,,68,10/17/23,0.704861111111111,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL23,LACOSTE,PF0051,20.81,20.81,,,,,,-,,,,317,9/27/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,265,-,-,-,-,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL23,LACOSTE,PF7453,20.59,20.59,,,,,,-,,,,3340,9/22/23,0.329861111111111,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,275,-,-,818,646,-,-,-,-,-,751,720,129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL23,LACOSTE,TF7390,13.77,13.77,,,,,,-,,,,150,10/9/23,0.335416666666667,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL23,LACOSTE,TH2525,11.34,11.34,,,,,,-,,,,88,10/12/23,0.815277777777778,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL23,Arcteryx,X000007664,16.84,16.84,,,,,,-,,,,10528,11/27/23,0.272222222222222,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,138,354,471,588,684,715,-,765,813,835,850,-,-,-,877,895,899,898,152,-,-,-,-,-,-,-,-,-,-,-,-,593,-,-,-,
AL23,Arcteryx,X000008139,15.45,15.45,,,,,,-,,,,7618,12/15/23,0.294444444444444,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,247,572,-,753,938,1088,1131,1215,-,-,-,-,1290,385,-,-,-,
Daily Prod,AL23,-,17.88,17.88,,,,,,-,,,,34147,9/18/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,611,-,3,144,275,-,-,818,646,265,-,-,-,-,804,720,129,-,-,-,-,27,123,-,17,78,-,-,80,33,35,551,814,-,-,-,-,274,533,-,-,-,742,666,-,-,-,-,-,-,-,259,539,730,687,-,313,546,755,513,-,-,-,393,709,954,1089,124,-,-,138,354,471,588,684,715,-,765,813,835,850,-,-,-,877,895,899,898,399,572,-,753,938,1088,1131,1215,-,-,-,-,1290,978,-,-,-,
Efficiency,AL23,-,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.25,-,-,0.06,0.16,-,-,0.46,0.36,0.15,-,-,-,-,0.45,0.41,0.07,-,-,-,-,0.01,0.05,-,0.01,0.03,-,-,0.04,0.02,0.02,0.25,0.37,-,-,-,-,0.2,0.38,-,-,-,0.53,0.48,-,-,-,-,-,-,-,0.14,0.28,0.38,0.36,-,0.23,0.39,0.54,0.37,-,-,-,0.16,0.29,0.39,0.44,0.05,-,-,0.06,0.16,0.22,0.27,0.32,0.33,-,0.35,0.37,0.38,0.39,-,-,-,0.4,0.41,0.41,0.41,0.17,0.24,-,0.32,0.4,0.46,0.48,0.51,-,-,-,-,0.55,0.44,-,-,-,
AL25,Patagonia,23936,17.78,17.78,,,,,,-,,,,2394,11/8/23,0.610416666666667,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,443,649,838,-,453,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL25,Patagonia,23941,18.4,18.4,,,,,,-,,,,1751,11/4/23,0.331944444444444,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,430,628,682,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL25,Patagonia,44550,15.72,15.72,,,,,,-,,,,4122,10/13/23,0.258333333333333,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,471,-,-,1433,156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,703,1359,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL25,Patagonia,44555,15.91,15.91,,,,,,-,,,,4121,10/17/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1376,685,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,574,918,568,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL25,Patagonia,44575,14.49,14.49,,,,,,-,,,,10507,10/5/23,0.266666666666667,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1296,1551,-,-,1017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,860,1516,637,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,278,692,944,-,-,-,-,1102,614,-,-,-,
AL25,Patagonia,44580,14.48,14.48,,,,,,-,,,,4250,10/18/23,0.284722222222222,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,496,1229,335,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,640,1019,-,530,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL25,Patagonia,44585,16.14,16.14,,,,,,-,,,,4198,10/11/23,0.402777777777778,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,222,1016,823,-,-,-,-,-,-,-,-,-,-,-,631,1165,-,-,-,342,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL25,Patagonia,44590,14.39,14.39,,,,,,-,,,,9127,10/9/23,0.276388888888889,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,665,1816,1280,-,-,-,-,-,-,-,-,1133,-,-,1030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1013,1485,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,705,-,-,-,
AL25,Patagonia,44595,14.39,14.39,,,,,,-,,,,4790,10/2/23,0.359027777777778,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,747,1128,129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,568,1726,437,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL25,Patagonia,44600,16.31,16.31,,,,,,-,,,,2573,10/30/23,0.256944444444444,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,309,810,1145,310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL25,Patagonia,44605,14.7,14.7,,,,,,-,,,,2370,11/2/23,0.402777777777778,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,525,935,909,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL25,Arcteryx,X000007664,16.84,16.84,,,,,,-,,,,4266,9/25/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1203,1203,1127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,495,238,-,-,-,-,-,-,-,-,-,-,-,
AL25,Arcteryx,X000007665,18.01,18.01,,,,,,-,,,,11758,9/18/23,0.277083333333333,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,199,-,-,810,1053,678,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,236,380,-,480,588,660,681,-,-,-,735,772,786,802,828,841,-,840,382,-,-,-,-,-,-,-,-,-,-,-,-,
