Factory,GROUP,TEAM,PERMANENT,CASUAL,F.PERMANT,F.CASUAL,LC. TYPE,CUSTOMER,STYLE,ITEM ID,STYLE FAMILY,SMV,DAY,WORK HRS,AVA. DIRECT HRS,FC AVA. DIRECT HRS,PROJECTED HRS,LC. HRS,C OUT HRS,C OUT HRS PROJECTED,LC. OUTPUT,F. OUTPUT,OUTPUT,PLN. PCS,LC. EFF,FC. EFF,C OUT EFF,ILQ %,IDLE HRS,LA EFF Variance,LA HRS Variance,LA PCS Variance,Capacity,CAP Efficiency,LRN vs Capacity EFF
CMGM,CMM,TEAM 11,27,0,27,0,FN-OP,DEC,11 DEC1SK 324528D3-SS23,11 DEC1SK 324528D3-SS23,SWIMWEAR,8.28,2,9,196.95,243,135.24,96.5055,129.72,-5.52,862.83,980,940,1074,49.00%,55.65%,65.86%,0.00%,0,16.86%,33.2145,77.17,980,55.65%,-6.65%
CMGM,CMM,TEAM 11,27,0,0,0,LR-OP,DEC,11 DEC1SK 127562D3-SS23,11 DEC1SK 127562D3-SS23,BODY,7.67,1,0,41.55,0,0,20.775,27.2285,27.2285,0,0,213,0,50.00%,0.00%,65.53%,0.00%,0,15.53%,6.4535,213,0,0.00%,50.00%
CMW,CMW,TEAM 11,19,0,0,0,FN-BRA,MnS,11 MnST52 0945FC4-SP24,11 MnST52 0945FC4-SP24,BRIEF,16.69,2,0,4.4,0,0,1.848,1.112666667,1.112666667,0,0,4,0,42.00%,0.00%,25.29%,0.00%,60,-16.71%,-0.735333333,4,0,0.00%,42.00%
CMW,CMW,TEAM 11,19,0,17,0,FN-OP,MnS,11 MnST52 7597WC4-SP24,11 MnST52 7597WC4-SP24,BRIEF,8.7,2,8,143.7333333,136,66.7,70.42933333,36.395,-30.305,459.59,460,251,638,49.00%,49.04%,25.32%,34.38%,60,-23.68%,-34.03433333,-208.59,460,49.04%,-0.04%
CMW,CMW,TEAM 11,19,0,0,0,LR-BRA,MnS,11 MnST33 4803C4-SP24,11 MnST33 4803C4-SP24,BRA,21.39,2,0,8.4,0,0,4.872,2.139,2.139,0,0,6,0,58.00%,0.00%,25.46%,0.00%,60,-32.54%,-2.733,6,0,0.00%,58.00%
CMCG,CMCG,TEAM 12,22,0,21,0,LN-BRA,MnS,11 MnST52 5913TC4-SP24,11 MnST52 5913TC4-SP24,SWIMWEAR,17.03,5,9,199.4166667,189,122.05,131.615,95.65183333,-26.39816667,439,430,337,378,66.00%,64.58%,47.97%,68.54%,0,-18.03%,-35.96316667,-102,440,66.08%,-0.08%
CMGM,CMM,TEAM 12,24,0,26,0,FN-OP,DEC,11 DEC1SK 346455D4-SS24,11 DEC1SK 346455D4-SS24,LINGERIE,6.75,8,9,200.5333333,234,193.5,150.4,219.375,25.875,1560,1720,1950,1467,75.00%,82.69%,109.40%,0.00%,0,34.40%,68.975,390,1720,82.69%,-7.69%
CMGM,CMM,TEAM 12,24,0,0,0,LR-OP,DEC,11 DEC1SK 306417D3-SS23,11 DEC1SK 306417D3-SS23,SWIMWEAR,15.18,1,0,13.9,0,0,6.95,15.18,15.18,0,0,60,0,50.00%,0.00%,109.21%,0.00%,0,59.21%,8.23,60,0,0.00%,50.00%
CMCG,CMCG,TEAM 13,24,0,23,0,FN-BRA,MnS,11 MnST52 8964TC4-SP24,11 MnST52 8964TC4-SP24,SWIMWEAR,17.83,8,9,216.0833333,207,147.1,151.2583333,148.2861667,1.186166667,488,495,499,490,70.00%,71.06%,68.62%,22.43%,0,-1.38%,-2.972166667,11,495,71.06%,-1.06%
CMCG,CMCG,TEAM 14,21,0,21,0,FN-BRA,MnS,11 MnST52 9772BC4-SP24,11 MnST52 9772BC4-SP24,BRA,13.75,11,9,189,189,137.5,139.86,138.4166667,0.916666667,610,600,604,571,74.00%,72.75%,73.24%,9.38%,0,-0.76%,-1.443333333,-6,600,72.75%,1.25%
