Module,Total SMV,Product Type,Avg Per Day,Actual Per Day,Defect Qty,Reject Qty,Missing Qty
AL06,15.18,T-shirt Baselayer,0,0,0,0,0
AL06,15.18,T-shirt Baselayer,0,0,0,0,0
AL06,15.18,T-shirt Baselayer,0,0,0,0,0
AL06,18.67,Hoody Baselayer,0,0,0,0,0
AL06,18.67,Hoody Baselayer,0,0,0,0,0
AL06,18.67,Hoody Baselayer,0,0,0,0,0
AL06,18.67,Hoody Baselayer,0,0,0,0,0
AL06,18.67,Hoody Baselayer,0,0,0,0,0
AL06,18.67,Hoody Baselayer,0,0,0,0,0
AL06,11.08,T-shirt Baselayer,0,0,0,0,0
AL06,11.08,T-shirt Baselayer,0,0,0,0,0
AL06,11.08,T-shirt Baselayer,0,0,0,0,0
,0,,0,0,0,0,0
AL06,16.57,,604,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL06,9.13,,493,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL06,11.08,,723,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL06,15.18,,461,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL06,18.67,,589,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL06,15.31,,584,0,0,0,0
,0,,0,0,0,0,0
AL08,7.98,T-shirt Baselayer,40,0,0,0,0
AL08,11.08,T-shirt Baselayer,171,0,0,0,0
AL08,7.98,T-shirt Baselayer,4,0,0,0,0
AL08,7.98,T-shirt Baselayer,791,0,0,0,0
AL08,7.98,T-shirt Baselayer,490,0,0,0,0
AL08,7.98,T-shirt Baselayer,180,0,0,0,0
AL08,7.98,T-shirt Baselayer,1030,0,0,0,0
AL08,12.45,Bra Sports bra,52,0,0,0,0
AL08,11.08,T-shirt Baselayer,160,0,0,0,0
AL08,11.1,T-shirt Baselayer,270,0,0,0,0
AL08,11.1,T-shirt Baselayer,515,0,0,0,0
AL08,11.1,T-shirt Baselayer,439,0,0,0,0
AL08,11.1,T-shirt Baselayer,412,0,0,0,0
AL08,11.1,T-shirt Baselayer,490,0,0,0,0
AL08,11.1,T-shirt Baselayer,515,0,0,0,0
AL08,11.1,T-shirt Baselayer,412,0,0,0,0
AL08,11.1,T-shirt Baselayer,516,0,0,0,0
AL08,11.1,T-shirt Baselayer,605,0,0,0,0
AL08,9.13,T-shirt Baselayer,568,0,0,0,0
AL08,9.13,T-shirt Baselayer,498,0,0,0,0
AL08,9.13,T-shirt Baselayer,335,0,0,0,0
AL08,9.13,T-shirt Baselayer,438,0,0,0,0
AL08,9.13,T-shirt Baselayer,552,0,0,0,0
AL08,12.45,Bra Sports bra,466,0,0,0,0
AL08,12.45,Bra Sports bra,621,0,0,0,0
AL08,8.01,Projections,1099,0,0,0,0
AL08,11.1,T-shirt Baselayer,232,0,0,0,0
AL08,11.1,T-shirt Baselayer,360,0,0,0,0
AL08,11.1,T-shirt Baselayer,582,0,0,0,0
AL08,11.1,T-shirt Baselayer,258,0,0,0,0
AL08,11.1,T-shirt Baselayer,464,0,0,0,0
AL08,11.1,T-shirt Baselayer,876,0,0,0,0
AL08,13.02,Projections,510,0,0,0,0
AL08,13.02,Projections,701,0,0,0,0
AL08,13.02,Projections,878,0,0,0,0
AL08,11.1,T-shirt Baselayer,0,0,0,0,0
AL08,11.1,T-shirt Baselayer,0,0,0,0,0
AL08,11.1,T-shirt Baselayer,0,0,0,0,0
AL08,11.1,T-shirt Baselayer,0,0,0,0,0
AL08,9.13,T-shirt Baselayer,0,0,0,0,0
AL08,9.13,T-shirt Baselayer,0,0,0,0,0
AL08,9.13,T-shirt Baselayer,0,0,0,0,0
AL08,9.13,T-shirt Baselayer,0,0,0,0,0
,0,,0,0,0,0,0
AL08,12.45,,380,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL08,7.98,,422,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL08,11.1,,463,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL08,9.13,,478,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL08,11.08,,166,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL08,13.02,,696,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL08,8.01,,1099,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL08,10.41,,472,0,0,0,0
,0,,0,0,0,0,0
AL09,11.24,Hoody Baselayer,2,0,0,0,0
AL09,11.24,Hoody Baselayer,670,0,0,0,0
AL09,11.24,Hoody Baselayer,721,0,0,0,0
AL09,11.24,Hoody Baselayer,258,0,0,0,0
AL09,11.24,Hoody Baselayer,515,0,0,0,0
AL09,10.14,Hoody Baselayer,696,0,0,0,0
AL09,10.14,Hoody Baselayer,772,0,0,0,0
AL09,10.14,Hoody Baselayer,517,0,0,0,0
AL09,10.14,Hoody Baselayer,515,0,0,0,0
AL09,10.14,Hoody Baselayer,858,0,0,0,0
AL09,10.14,Hoody Baselayer,515,0,0,0,0
AL09,10.14,Hoody Baselayer,914,0,0,0,0
AL09,10.14,Hoody Baselayer,670,0,0,0,0
AL09,10.14,Hoody Baselayer,696,0,0,0,0
AL09,11.24,Hoody Baselayer,696,0,0,0,0
AL09,11.24,Hoody Baselayer,464,0,0,0,0
AL09,11.24,Hoody Baselayer,671,0,0,0,0
AL09,7.98,T-shirt Baselayer,1326,0,0,0,0
AL09,10.97,T-shirt Baselayer,248,0,0,0,0
AL09,10.97,T-shirt Baselayer,310,0,0,0,0
AL09,10.97,T-shirt Baselayer,309,0,0,0,0
AL09,10.97,T-shirt Baselayer,310,0,0,0,0
AL09,7.98,T-shirt Baselayer,386,0,0,0,0
AL09,7.98,T-shirt Baselayer,258,0,0,0,0
AL09,7.98,T-shirt Baselayer,773,0,0,0,0
AL09,7.98,T-shirt Baselayer,659,0,0,0,0
AL09,7.98,T-shirt Baselayer,618,0,0,0,0
AL09,7.98,T-shirt Baselayer,1082,0,0,0,0
AL09,11.24,Hoody Baselayer,258,0,0,0,0
AL09,11.24,Hoody Baselayer,481,0,0,0,0
AL09,11.24,Hoody Baselayer,481,0,0,0,0
AL09,11.24,Hoody Baselayer,567,0,0,0,0
AL09,11.24,Hoody Baselayer,258,0,0,0,0
AL09,11.24,Hoody Baselayer,618,0,0,0,0
AL09,10.14,Hoody Baselayer,670,0,0,0,0
AL09,10.14,Hoody Baselayer,670,0,0,0,0
AL09,10.14,Hoody Baselayer,567,0,0,0,0
AL09,10.14,Hoody Baselayer,515,0,0,0,0
AL09,10.14,Hoody Baselayer,412,0,0,0,0
AL09,10.14,Hoody Baselayer,824,0,0,0,0
AL09,10.14,Hoody Baselayer,1107,0,0,0,0
AL09,10.14,Hoody Baselayer,1133,0,0,0,0
AL09,10.14,Hoody Baselayer,284,0,0,0,0
AL09,10.14,Hoody Baselayer,1185,0,0,0,0
AL09,10.14,Hoody Baselayer,360,0,0,0,0
AL09,10.14,Hoody Baselayer,850,0,0,0,0
AL09,10.14,Hoody Baselayer,1069,0,0,0,0
AL09,10.14,Hoody Baselayer,0,0,0,0,0
AL09,11.24,Hoody Baselayer,0,0,0,0,0
AL09,11.24,Hoody Baselayer,0,0,0,0,0
AL09,11.24,Hoody Baselayer,0,0,0,0,0
AL09,11.24,Hoody Baselayer,0,0,0,0,0
AL09,11.24,Hoody Baselayer,0,0,0,0,0
,0,,0,0,0,0,0
AL09,10.97,,294,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL09,7.98,,786,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL09,10.14,,718,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL09,7.98,,1326,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL09,7.98,,472,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL09,11.24,,475,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL09,10.31,,611,0,0,0,0
,0,,0,0,0,0,0
AL10,23.31,T-shirt Baselayer,242,0,0,0,0
AL10,30.98,Jacket Baselayer,61,0,0,0,0
AL10,30.98,Jacket Baselayer,38,0,0,0,0
AL10,22.7,Bra Sports bra,6,0,0,0,0
AL10,22.7,Bra Sports bra,62,0,0,0,0
AL10,22.7,Bra Sports bra,188,0,0,0,0
AL10,22.7,Bra Sports bra,445,0,0,0,0
AL10,23.31,T-shirt Baselayer,253,0,0,0,0
AL10,24.54,Bra Sports bra,258,0,0,0,0
AL10,24.54,Bra Sports bra,386,0,0,0,0
AL10,24.54,Bra Sports bra,515,0,0,0,0
AL10,24.54,Bra Sports bra,541,0,0,0,0
AL10,24.54,Bra Sports bra,284,0,0,0,0
AL10,24.54,Bra Sports bra,258,0,0,0,0
AL10,17.49,Bra Sports bra,490,0,0,0,0
AL10,17.49,Bra Sports bra,360,0,0,0,0
AL10,26.26,Bra Sports bra,220,0,0,0,0
AL10,26.26,Bra Sports bra,405,0,0,0,0
AL10,26.08,Bra Sports bra,747,0,0,0,0
AL10,26.08,Bra Sports bra,378,0,0,0,0
AL10,26.08,Bra Sports bra,627,0,0,0,0
AL10,24.28,Bra Sports bra,72,0,0,0,0
AL10,24.28,Bra Sports bra,115,0,0,0,0
AL10,22.7,Bra Sports bra,172,0,0,0,0
AL10,22.7,Bra Sports bra,258,0,0,0,0
AL10,22.7,Bra Sports bra,296,0,0,0,0
AL10,22.7,Bra Sports bra,515,0,0,0,0
AL10,33.3,Hoody Baselayer,288,0,0,0,0
AL10,33.3,Hoody Baselayer,323,0,0,0,0
AL10,33.3,Hoody Baselayer,515,0,0,0,0
AL10,30.98,Jacket Baselayer,270,0,0,0,0
AL10,30.98,Jacket Baselayer,490,0,0,0,0
AL10,30.98,Jacket Baselayer,644,0,0,0,0
AL10,30.98,Jacket Baselayer,414,0,0,0,0
AL10,24.48,Hoody Baselayer,309,0,0,0,0
AL10,24.48,Hoody Baselayer,360,0,0,0,0
AL10,24.48,Hoody Baselayer,618,0,0,0,0
AL10,22.7,Bra Sports bra,258,0,0,0,0
AL10,22.7,Bra Sports bra,270,0,0,0,0
AL10,22.7,Bra Sports bra,541,0,0,0,0
AL10,23.31,T-shirt Baselayer,206,0,0,0,0
AL10,23.31,T-shirt Baselayer,344,0,0,0,0
AL10,23.31,T-shirt Baselayer,309,0,0,0,0
AL10,23.31,T-shirt Baselayer,619,0,0,0,0
AL10,24.99,T-shirt,10,0,0,0,0
AL10,24.99,T-shirt,317,0,0,0,0
AL10,24.99,T-shirt,171,0,0,0,0
AL10,24.99,T-shirt,138,0,0,0,0
AL10,24.99,T-shirt,384,0,0,0,0
AL10,24.99,T-shirt,477,0,0,0,0
AL10,15.99,Hoody Baselayer,431,0,0,0,0
AL10,15.99,Hoody Baselayer,878,0,0,0,0
AL10,15.99,Hoody Baselayer,0,0,0,0,0
AL10,15.99,Hoody Baselayer,0,0,0,0,0
AL10,24.99,T-shirt,0,0,0,0,0
AL10,24.99,T-shirt,0,0,0,0,0
AL10,24.99,T-shirt,0,0,0,0,0
AL10,24.99,T-shirt,0,0,0,0,0
AL10,20.58,Tank Top Baselayer,0,0,0,0,0
AL10,20.58,Tank Top Baselayer,0,0,0,0,0
,0,,0,0,0,0,0
AL10,17.49,,425,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL10,24.54,,374,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL10,22.7,,274,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL10,26.15,,475,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL10,24.28,,94,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL10,30.98,,320,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL10,23.31,,329,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL10,15.99,,655,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL10,24.48,,429,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL10,33.3,,375,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL10,20.58,,0,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL10,24.99,,249,0,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL10,24.42,,342,0,0,0,0
,0,,0,0,0,0,0
AL12,7.98,T-shirt Baselayer,774,0,0,0,0
AL12,7.98,T-shirt Baselayer,721,0,0,0,0
AL12,7.98,T-shirt Baselayer,1216,0,0,0,0
AL12,8.7,T-shirt Baselayer,13,0,0,0,0
